episode,round,investment,repay_prop,repayment,tripled_amount,investor_gain,trustee_gain
11,3,10.0,1.0,30.0,30.0,40.0,0.0
11,4,0.0,0.0,0.0,0.0,20.0,0.0
11,5,10.0,0.0,0.0,30.0,10.0,30.0
11,6,5.0,0.0,0.0,15.0,15.0,15.0
11,7,15.0,0.0,0.0,45.0,5.0,45.0
11,8,5.0,0.0,0.0,15.0,15.0,15.0
11,9,15.0,0.0,0.0,45.0,5.0,45.0
11,10,5.0,0.0,0.0,15.0,15.0,15.0
12,1,5.0,0.0,0.0,15.0,15.0,15.0
12,2,10.0,0.0,0.0,30.0,10.0,30.0
12,3,20.0,0.0,0.0,60.0,0.0,60.0
12,4,15.0,0.0,0.0,45.0,5.0,45.0
12,5,10.0,0.0,0.0,30.0,10.0,30.0
12,6,5.0,0.0,0.0,15.0,15.0,15.0
12,7,15.0,0.0,0.0,45.0,5.0,45.0
12,8,5.0,0.0,0.0,15.0,15.0,15.0
12,9,5.0,0.0,0.0,15.0,15.0,15.0
12,10,5.0,0.0,0.0,15.0,15.0,15.0
13,1,10.0,0.0,0.0,30.0,10.0,30.0
13,2,15.0,0.0,0.0,45.0,5.0,45.0
13,3,20.0,0.0,0.0,60.0,0.0,60.0
13,4,20.0,0.0,0.0,60.0,0.0,60.0
13,5,15.0,0.0,0.0,45.0,5.0,45.0
13,6,15.0,0.0,0.0,45.0,5.0,45.0
13,7,20.0,0.0,0.0,60.0,0.0,60.0
13,8,15.0,0.0,0.0,45.0,5.0,45.0
13,9,20.0,0.0,0.0,60.0,0.0,60.0
13,10,10.0,0.5,15.0,30.0,25.0,15.0
14,1,10.0,0.0,0.0,30.0,10.0,30.0
14,2,15.0,0.0,0.0,45.0,5.0,45.0
14,3,20.0,1.0,60.0,60.0,60.0,0.0
14,4,15.0,0.0,0.0,45.0,5.0,45.0
14,5,20.0,0.25,15.0,60.0,15.0,45.0
14,6,20.0,0.0,0.0,60.0,0.0,60.0
14,7,10.0,0.0,0.0,30.0,10.0,30.0
14,8,20.0,0.0,0.0,60.0,0.0,60.0
14,9,20.0,0.0,0.0,60.0,0.0,60.0
14,10,20.0,0.0,0.0,60.0,0.0,60.0
15,1,0.0,0.75,0.0,0.0,20.0,0.0
15,2,5.0,0.0,0.0,15.0,15.0,15.0
